Package,File Name,Application Name,Generic Name
cinnamon,cinnamon-settings-applets.desktop,Applets,
cinnamon,cinnamon-settings-backgrounds.desktop,Backgrounds,
cinnamon,cinnamon-settings-calendar.desktop,Date & Time,
cinnamon,cinnamon-settings-default.desktop,Preferred Applications,
cinnamon,cinnamon-settings-desklets.desktop,Desklets,
cinnamon,cinnamon-settings-desktop.desktop,Desktop,
cinnamon,cinnamon-settings-effects.desktop,Effects,
cinnamon,cinnamon-settings-extensions.desktop,Extensions,
cinnamon,cinnamon-settings-fonts.desktop,Font Selection,
cinnamon,cinnamon-settings-general.desktop,General,
cinnamon,cinnamon-settings-hotcorner.desktop,Hot Corners,
cinnamon,cinnamon-settings-info.desktop,System Info,
cinnamon,cinnamon-settings-keyboard.desktop,Keyboard,
cinnamon,cinnamon-settings-mouse.desktop,Mouse and Touchpad,
cinnamon,cinnamon-settings-notifications.desktop,Notifications,
cinnamon,cinnamon-settings-online-accounts.desktop,Online Accounts,
cinnamon,cinnamon-settings-panel.desktop,Panel,
cinnamon,cinnamon-settings-power.desktop,Power Management,
cinnamon,cinnamon-settings-privacy.desktop,Privacy,
cinnamon,cinnamon-settings-screensaver.desktop,Screensaver,
cinnamon,cinnamon-settings-sound.desktop,Sound,
cinnamon,cinnamon-settings-startup.desktop,Startup Applications,
cinnamon,cinnamon-settings-themes.desktop,Themes,
cinnamon,cinnamon-settings-tiling.desktop,Window Tiling,
cinnamon,cinnamon-settings-universal-access.desktop,Accessibility,
cinnamon,cinnamon-settings-user.desktop,Account details,
cinnamon,cinnamon-settings-users.desktop,Users and Groups,
cinnamon,cinnamon-settings-windows.desktop,Windows,
cinnamon,cinnamon-settings-workspaces.desktop,Workspaces,
cinnamon,cinnamon-settings.desktop,System Settings,
cinnamon,cinnamon.desktop,Cinnamon,
cinnamon,cinnamon2d.desktop,Cinnamon 2D,
cinnamon-control-center,cinnamon-color-panel.desktop,Color,
cinnamon-control-center,cinnamon-display-panel.desktop,Display,
cinnamon-control-center,cinnamon-network-panel.desktop,Network,
cinnamon-control-center,cinnamon-region-panel.desktop,Region & Language,
cinnamon-control-center,cinnamon-wacom-panel.desktop,Graphics Tablet,
cinnamon-screensaver,cinnamon-screensaver.desktop,Screensaver,
cinnamon-settings-daemon,csd-automount.desktop,Files,
circuslinux,circuslinux.desktop,Circus Linux!,Circus Linux
ckb-next,ckb-next.desktop,ckb-next,
clamtk,clamtk-kde.desktop,clamtk,
clamtk,clamtk.desktop,ClamTk,Virus Scanner
clamz,clamz.desktop,Clamz MP3 Downloader (command-line),
classified-ads,classified-ads.desktop,Classified ads,Classified ads
claws-mail,claws-mail.desktop,Claws Mail,E-mail client
clawsker,clawsker.desktop,Clawsker,
clementine,clementine.desktop,Clementine,Clementine Music Player
clipit,clipit.desktop,ClipIt,
clips,clips.desktop,CLIPS,Expert system tool
cloudcompare,ccViewer.desktop,CloudCompare Viewer,
cloudcompare,cloudcompare.desktop,CloudCompare,
clustalx,clustalx.desktop,Clustal X,Alignment and phylogeny
clusterssh,clusterssh.desktop,ClusterSSH,SSH/RSH Cluster Control Client
cmake-qt-gui,cmake-gui.desktop,CMake,
cmatrix,cmatrix.desktop,CMatrix,
cmst,cmst.desktop,Connman UI Setup,Network Configuration
coccinella,coccinella.desktop,Coccinella,Internet Messenger
codeblocks-common,codeblocks.desktop,Code::Blocks IDE,Integrated development environment
codelite,codelite.desktop,CodeLite,
codfis,codfis.desktop,CodFis,
colmap,COLMAP.desktop,COLMAP,
colobot,colobot.desktop,Colobot,Game to learn programming
colorcode,colorcode.desktop,ColorCode,Clone of the MasterMind code-breaking game
colorhug-client,colorhug-docs.desktop,ColorHug Documentation,
colorhug-client,com.hughski.ColorHug.Backlight.desktop,ColorHug Backlight Utility,
colorhug-client,com.hughski.ColorHug.CcmxLoader.desktop,CCMX Loader,
colorhug-client,com.hughski.ColorHug.DisplayAnalysis.desktop,ColorHug Display Analysis,
colorhug-client,com.hughski.ColorHug.FlashLoader.desktop,Firmware Updater,
colossal-cave-adventure,colossal-cave-adventure.desktop,Colossal Cave Adventure,Text adventure game
compiz-boxmenu,Compiz-Boxmenu-Editor.desktop,Compiz Boxmenu Editor,Edit your Compiz Boxmenu menus
compiz-core,compiz-start.desktop,Compiz Start,Start Compiz
compiz-core,compiz.desktop,Compiz,
compizconfig-settings-manager,ccsm.desktop,CompizConfig Settings Manager,
comptext,comptext.desktop,comptext,Generic Text Comparison
compton,compton.desktop,compton,X compositor
compton-conf,compton-conf.desktop,Window Effects,Compton Configuration
comptty,comptty.desktop,comptty,Generic Text Comparison
confclerk,confclerk.desktop,ConfClerk,Offline conference schedule application
configure-debian,configure-debian.desktop,Configure-Debian,
congruity,congruity.desktop,Congruity,
congruity,mhgui.desktop,MHGUI,
conky-all,conky.desktop,conky,
conky-cli,conky.desktop,conky,
conky-std,conky.desktop,conky,
connectagram,connectagram.desktop,Connectagram,Anagram Game
connectome-workbench,connectome-workbench.desktop,Connectome Workbench,Human Connectome Project Viewing and Analysis Tools
connman-gtk,connman-gtk.desktop,Connman Settings,
converseen,converseen.desktop,Converseen,Converseen
convertall,convertall.desktop,ConvertAll,Unit Converter
cool-retro-term,cool-retro-term.desktop,Cool Retro Term,Terminal emulator
copyq,com.github.hluk.copyq.desktop,CopyQ,Clipboard Manager
coqide,coqide.desktop,CoqIDE Proof Assistant,
corsix-th,com.corsixth.CorsixTH.desktop,CorsixTH,
cowbell,cowbell.desktop,Cowbell Music Organizer,Music Organizer
cppcheck-gui,cppcheck-gui.desktop,Cppcheck,
cpu-x,cpu-x.desktop,CPU-X,
cpupower-gui,org.rnd2.cpupower_gui.desktop,cpupower-gui,CPU frequency settings
cqrlog,cqrlog.desktop,CQRLOG,
crack-attack,crack-attack.desktop,Crack Attack,
crawl,crawl.desktop,Dungeon Crawl,
crawl-tiles,crawl-tiles.desktop,Dungeon Crawl (tiles),
cream,cream.desktop,Cream,Text Editor
crimson,crimson.desktop,Crimson Fields,Turn-Based Strategy Game
crispy-doom,io.github.fabiangreffrath.Doom.desktop,Crispy Doom,
crispy-doom,io.github.fabiangreffrath.Doom_Screensaver.desktop,Crispy Doom,
crispy-doom,io.github.fabiangreffrath.Heretic.desktop,Crispy Heretic,
crispy-doom,io.github.fabiangreffrath.Setup.desktop,Crispy Setup,
criticalmass,criticalmass.desktop,Criticalmass,
critterding,critterding.desktop,Critterding,Evolving Artificial Life
cronometer,cronometer.desktop,CRON-o-Meter,
crossfire-client,crossfire-client.desktop,Crossfire Client,Crossfire Client
crrcsim,crrcsim.desktop,CRRCsim,crrcsim
crystal-facet-uml,crystal-facet-uml.desktop,crystal-facet-uml,UML Drawing Tool
csmash,csmash.desktop,Cannon Smash,
csoundqt,csoundqt.desktop,CsoundQt,IDE for Csound
ctsim,ctsim.desktop,CTSim Computed Tomography Simulator,Computed Tomography Simulator
cube2-data,cube2.desktop,Cube2:Demo,
cubicsdr,CubicSDR.desktop,CubicSDR,CubicSDR
cultivation,cultivation.desktop,Cultivation,Gardening game
cura,cura.desktop,Ultimaker Cura,3D Printing Software
curtain,curtain.desktop,Curtain,Show and move a curtain
cutecom,cutecom.desktop,CuteCom,Serial Terminal
cutemaze,cutemaze.desktop,CuteMaze,Simple Maze Game
cutesdr,cutesdr.desktop,CuteSdr,Software Defined Radio
cuyo,cuyo.desktop,Cuyo,Tetris like game
cyclograph-gtk3,cyclograph-gtk3.desktop,Cyclograph GTK3,Plot your ride (GTK 3 interface)
cyclograph-qt5,cyclograph-qt.desktop,Cyclograph Qt,Plot your ride (Qt interface)
