POLICY,TYPE,PACKAGE,PATH,NOTES
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga104/gr/fecs_sig.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga104/gr/gpccs_bl.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga104/gr/gpccs_sig.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga106/gr/NET_img.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga106/gr/fecs_bl.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga106/gr/fecs_sig.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga106/gr/gpccs_bl.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga106/gr/gpccs_sig.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga107/gr/NET_img.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga107/gr/fecs_bl.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga107/gr/fecs_sig.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga107/gr/gpccs_bl.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga107/gr/gpccs_sig.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gk20a/fecs_data.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gk20a/fecs_inst.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gk20a/gpccs_data.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gk20a/gpccs_inst.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gk20a/sw_bundle_init.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gk20a/sw_ctx.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gk20a/sw_method_init.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gk20a/sw_nonctx.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm200/acr/bl.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm200/acr/ucode_load.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm200/acr/ucode_unload.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm200/gr/fecs_bl.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm200/gr/fecs_data.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm200/gr/fecs_inst.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm200/gr/fecs_sig.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm200/gr/gpccs_bl.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm200/gr/gpccs_data.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm200/gr/gpccs_inst.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm200/gr/gpccs_sig.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm200/gr/sw_bundle_init.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm200/gr/sw_ctx.bin",
