  Size Package
3.3MiB antigravitaattori
3.2MiB tyrian-data
3.2MiB briquolo-data
3.2MiB colobot-common
3.1MiB sdl-ball-data
3.1MiB open-invaders
3.1MiB gnurobbo-data
3.1MiB dwarf-fortress-data
3.1MiB luola-data
3.1MiB xye
3.0MiB love
2.9MiB simutrans-pak64
2.9MiB uhexen2
2.9MiB ioquake3
2.9MiB airstrike
2.9MiB liquidwar-data
2.9MiB bb
2.9MiB exult
2.8MiB wallstreet
2.8MiB openttd-opengfx
2.8MiB darkplaces
2.8MiB ketm
2.8MiB abe-data
2.8MiB openttd-data
2.7MiB pioneers-data
2.7MiB stormbaancoureur-data
2.7MiB armagetronad
2.7MiB ricochet
2.7MiB glhack
2.7MiB criticalmass-data
2.6MiB tintin++
2.6MiB kobodeluxe
2.6MiB gnome-mahjongg
2.6MiB bucklespring-data
2.5MiB instead-data
2.5MiB biloba-data
2.5MiB holotz-castle-data
2.5MiB crossfire-client-images
2.5MiB nethack-x11
2.5MiB pachi-data
2.5MiB phlipple-data
2.5MiB ufoai-misc
2.4MiB glpeces
2.4MiB flightgear-phi
2.4MiB performous-composer
2.4MiB pipenightdreams
2.4MiB open-invaders-data
2.4MiB micropolis-data
2.4MiB dhewm3
2.4MiB qgo
2.4MiB monster-masher
2.4MiB biniax2-data
2.4MiB openmw-data
2.4MiB freegish
2.4MiB late
2.3MiB mupen64plus-qt
2.3MiB fortunes-mario
2.3MiB garden-of-coloured-lights
2.3MiB xblast-tnt
2.3MiB glpeces-data
2.3MiB tagua-data
2.2MiB crafty-books-medtosmall
2.2MiB ironseed-data
2.2MiB mokomaze
2.2MiB darkplaces-server
2.2MiB xracer
2.2MiB lbreakout2-data
2.2MiB slashem-gtk
2.2MiB pong2
2.1MiB crawl-common
2.1MiB madbomber-data
2.1MiB crossfire-maps-small
2.1MiB nethack-qt
2.1MiB angband-data
2.1MiB bloboats
2.1MiB hexxagon
2.0MiB freeciv-sound-standard
2.0MiB palapeli-data
2.0MiB pipewalker
2.0MiB blobby
2.0MiB dossizola
2.0MiB ceferino-data
1.9MiB xmpuzzles
1.9MiB amphetamine
1.9MiB pinball-table-hurd-data
1.9MiB overgod
1.9MiB blobby-server
1.8MiB nethack-console
1.8MiB powder
1.8MiB slimevolley
1.8MiB airstrike-common
1.8MiB luola-levels
1.8MiB epiphany-data
1.8MiB slashem-x11
1.8MiB tali
1.8MiB slashem
1.8MiB tworld
1.8MiB puzzle-jigsaw
1.8MiB blocks-of-the-undead-data
1.8MiB mupen64plus-ui-console
1.8MiB garden-of-coloured-lights-data
1.8MiB sgt-puzzles
1.8MiB quakespasm
1.8MiB nestopia
1.8MiB xye-data
1.8MiB maelstrom
1.7MiB efp
1.7MiB fceux
1.7MiB zangband
1.7MiB doom-wad-shareware
1.7MiB ketm-data
1.7MiB residualvm-data
1.7MiB swell-foop
1.6MiB nikwi
1.6MiB corsix-th-data
1.6MiB stax
1.6MiB kdegames-mahjongg-data-kf5
1.6MiB manaplus-data
1.6MiB gnome-nibbles
1.6MiB xscorch
1.5MiB fortunes-off
1.5MiB ezquake
1.5MiB tecnoballz-data
1.5MiB granule
1.5MiB five-or-more
1.5MiB tdfsb
1.5MiB gnujump-data
1.5MiB lightsoff
1.5MiB numptyphysics
1.5MiB fortunes-de
1.5MiB luola-nostalgy
1.4MiB gnugo
1.4MiB starvoyager
1.4MiB fb-music-high
1.4MiB mupen64plus-video-glide64mk2
1.4MiB gm-assistant
1.4MiB lgc-pg
1.4MiB val-and-rick-data
1.4MiB xboard
1.4MiB xwelltris
1.4MiB tuxpuck
1.4MiB xblast-tnt-sounds
1.4MiB yamagi-quake2
1.4MiB xblast-tnt-models
1.4MiB mupen64plus-video-glide64
1.3MiB gnome-2048
1.3MiB kobodeluxe-data
1.3MiB gnuchess-book
1.3MiB eboard
1.3MiB between
1.3MiB mupen64plus-video-z64
1.3MiB grhino
1.3MiB fortunes-pl
1.3MiB dangen
1.3MiB alex4
1.3MiB openjazz
1.3MiB pipenightdreams-data
1.3MiB overgod-data
1.3MiB mupen64plus-video-rice
1.3MiB fortunes-ru
1.3MiB late-data
1.3MiB quadrapassel
1.3MiB moon-lander-data
1.3MiB njam-data
1.3MiB tenmado
1.3MiB simutrans-data
1.3MiB gl-117-data
1.2MiB xmabacus
1.2MiB gnome-klotski
1.2MiB wesnoth-1.14-server
1.2MiB blastem
1.2MiB gravitywars
1.2MiB gav
1.2MiB csmash-data
1.2MiB boohu
1.2MiB chromium-bsu-data
1.2MiB lskat-data
1.2MiB primrose
1.2MiB mupen64plus-video-arachnoid
1.2MiB warmux-servers
1.2MiB zatacka
1.2MiB connectagram
1.2MiB pcsxr
1.2MiB xsoldier
1.2MiB bygfoot-data
1.1MiB mupen64plus-input-sdl
1.1MiB mupen64plus-rsp-hle
1.1MiB bzflag-server
1.1MiB mupen64plus-rsp-z64
1.1MiB mupen64plus-audio-sdl
1.1MiB gnuboy-sdl
1.1MiB xshisen
1.1MiB fortunes-zh
1.1MiB gravitation
1.1MiB passage
1.1MiB ballerburg
1.1MiB sopwith
1.1MiB excellent-bifurcation
1.1MiB xball
