year of latest upload (to sid),source package (in bookworm)
2018,mbrola-in2
2018,mbrola-ir1
2018,mbrola-it1
2018,mbrola-it2
2018,mbrola-it3
2018,mbrola-it4
2018,mbrola-jp1
2018,mbrola-jp2
2018,mbrola-jp3
2018,mbrola-la1
2018,mbrola-lt1
2018,mbrola-lt2
2018,mbrola-ma1
2018,mbrola-mx1
2018,mbrola-mx2
2018,mbrola-nl1
2018,mbrola-nl2
2018,mbrola-nl3
2018,mbrola-nz1
2018,mbrola-pl1
2018,mbrola-pt1
2018,mbrola-ro1
2018,mbrola-sw1
2018,mbrola-sw2
2018,mbrola-tl1
2018,mbrola-tr1
2018,mbrola-tr2
2018,mbrola-us1
2018,mbrola-us2
2018,mbrola-us3
2018,mbrola-vz1
2018,mdf2iso
2018,mdns-scan
2018,mdp-src
2018,mecab-jumandic
2018,mecab-naist-jdic
2018,memstat
2018,memtool
2018,metaphlan2-data
2018,metis-edf
2018,metro-policy
2018,mgen
2018,min12xxw
2018,minidjvu
2018,minpack
2018,modulator
2018,mp4h
2018,mpdas
2018,mpdcron
2018,mrtdreader
2018,mssstest
2018,msv
2018,multicat
2018,myrepos
2018,n2n
2018,nailgun
2018,nescc
2018,newmat
2018,nikto
2018,norwegian
2018,notification-daemon
2018,ntpstat
2018,nuntius-linux
2018,ognl
2018,only
2018,open-gram
2018,openhft-affinity
2018,openhft-compiler
2018,openigtlink
2018,openpgp-applet
2018,openstereogram
2018,openvanilla-modules
2018,otf2bdf
2018,pamtester
2018,paperkey
2018,parsec47
2018,parsley-clojure
2018,partconf
2018,partman-prep
2018,password-gorilla
2018,pcmanx-gtk2
2018,pdftk
2018,pep8-simul
2018,pexec
2018,pfm
2018,phasex
2018,piccolo
2018,picon-domains
2018,pidgin-extprefs
2018,pidgin-gnome-keyring
2018,pinentry-x2go
2018,pk4
2018,plexus-digest
2018,pluto-lunar
2018,polylib
2018,post-el
2018,prettify.js
2018,preview.app
2018,processing-core
2018,proot
2018,psk31lx
2018,ptpd
2018,ptunnel
2018,publican-debian
2018,pupnp-1.8
2018,puppet-module-puppetlabs-ntp
2018,puppet-module-puppetlabs-xinetd
2018,puppet-module-saz-memcached
2018,python-cpl
2018,python-ghdiff
2018,python-pyds9
2018,qbrew
2018,qsopt-ex
2018,qtscrob
2018,quickcal
2018,quoin-clojure
2018,qwtplot3d
2018,radlib
2018,rcconf
2018,re
2018,redeclipse
2018,redeclipse-data
2018,redsocks
2018,remote-logon-config-agent
2018,rkflashtool
